Score,Summary,Text,clean_text,review_length,sentiment
5,Works exactly as described,"Works exactly as described, very happy with this purchase Bought it last week.",works exactly described happy purchase bought last week,8,Positive
3,The product is acceptable but packaging ,The product is acceptable but packaging could be better Really.,product acceptable packaging could better really,6,Positive
3,Does what it says,"Does what it says, nothing more nothing less Bought it last week.",says nothing nothing less bought last week,7,Neutral
4,I absolutely love this product,"I absolutely love this product, it works perfectly and exceeded my expectations Overall a solid experience.",absolutely love product works perfectly exceeded expectations overall solid experience,10,Positive
4,This is amazing,"This is amazing, best purchase I have made this year Really.",amazing best purchase made year really,6,Positive
5,Super satisfied with the quality and the,Super satisfied with the quality and the price point Really.,super satisfied quality price point really,6,Positive
1,Waste of money,"Waste of money, does not work as advertised Really.",waste money work advertised really,5,Negative
5,Works exactly as described,"Works exactly as described, very happy with this purchase",works exactly described happy purchase,5,Positive
5,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Bought it last week.",fantastic taste great packaging five stars bought last week,9,Positive
5,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed Just my honest opinion.",perfect gift idea everyone tried impressed honest opinion,8,Positive
4,This is amazing,"This is amazing, best purchase I have made this year Really.",amazing best purchase made year really,6,Positive
4,Super satisfied with the quality and the,Super satisfied with the quality and the price point,super satisfied quality price point,5,Positive
5,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Really.",fantastic taste great packaging five stars really,7,Positive
5,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed Overall a solid experience.",perfect gift idea everyone tried impressed overall solid experience,9,Positive
2,The taste was awful and the packaging wa,The taste was awful and the packaging was damaged Bought it last week.,taste awful packaging damaged bought last week,7,Negative
5,Works exactly as described,"Works exactly as described, very happy with this purchase Just my honest opinion.",works exactly described happy purchase honest opinion,7,Positive
5,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Bought it last week.",fantastic taste great packaging five stars bought last week,9,Positive
5,Super satisfied with the quality and the,Super satisfied with the quality and the price point Overall a solid experience.,super satisfied quality price point overall solid experience,8,Positive
5,My family loves it,"My family loves it, we buy this every single month now Bought it last week.",family loves buy every single month bought last week,9,Positive
5,This is amazing,"This is amazing, best purchase I have made this year Really.",amazing best purchase made year really,6,Positive
4,Works exactly as described,"Works exactly as described, very happy with this purchase",works exactly described happy purchase,5,Positive
5,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Bought it last week.",fantastic taste great packaging five stars bought last week,9,Positive
5,My family loves it,"My family loves it, we buy this every single month now",family loves buy every single month,6,Positive
1,Terrible quality,"Terrible quality, broke after just one use Really.",terrible quality broke one use really,6,Negative
1,Not worth the price,"Not worth the price, quality is really bad Bought it last week.",worth price quality really bad bought last week,8,Negative
4,The best product I have tried so far,"The best product I have tried so far, will reorder soon",best product tried far reorder soon,6,Positive
5,Super satisfied with the quality and the,Super satisfied with the quality and the price point Overall a solid experience.,super satisfied quality price point overall solid experience,8,Positive
5,The best product I have tried so far,"The best product I have tried so far, will reorder soon",best product tried far reorder soon,6,Positive
2,I regret buying this,"I regret buying this, it did not meet expectations at all Overall a solid experience.",regret buying meet expectations overall solid experience,7,Negative
5,The best product I have tried so far,"The best product I have tried so far, will reorder soon",best product tried far reorder soon,6,Positive
4,Excellent value for money,"Excellent value for money, highly recommend to everyone",excellent value money highly recommend everyone,6,Positive
5,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again Overall a solid experience.",great quality fast shipping definitely buy overall solid experience,9,Positive
5,This is amazing,"This is amazing, best purchase I have made this year",amazing best purchase made year,5,Positive
5,Super satisfied with the quality and the,Super satisfied with the quality and the price point Really.,super satisfied quality price point really,6,Positive
4,Super satisfied with the quality and the,Super satisfied with the quality and the price point Bought it last week.,super satisfied quality price point bought last week,8,Positive
4,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again",great quality fast shipping definitely buy,6,Positive
3,It works fine,"It works fine, though I expected a bit more Really.",works fine though expected bit really,6,Positive
1,Terrible quality,"Terrible quality, broke after just one use Overall a solid experience.",terrible quality broke one use overall solid experience,8,Negative
5,Works exactly as described,"Works exactly as described, very happy with this purchase",works exactly described happy purchase,5,Positive
5,Excellent value for money,"Excellent value for money, highly recommend to everyone Just my honest opinion.",excellent value money highly recommend everyone honest opinion,8,Positive
5,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again",great quality fast shipping definitely buy,6,Positive
5,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed Bought it last week.",perfect gift idea everyone tried impressed bought last week,9,Positive
5,My family loves it,"My family loves it, we buy this every single month now Bought it last week.",family loves buy every single month bought last week,9,Positive
5,This is amazing,"This is amazing, best purchase I have made this year Overall a solid experience.",amazing best purchase made year overall solid experience,8,Positive
5,I absolutely love this product,"I absolutely love this product, it works perfectly and exceeded my expectations Bought it last week.",absolutely love product works perfectly exceeded expectations bought last week,10,Positive
5,Excellent value for money,"Excellent value for money, highly recommend to everyone Bought it last week.",excellent value money highly recommend everyone bought last week,9,Positive
3,Decent quality for the price,"Decent quality for the price, meets basic expectations",decent quality price meets basic expectations,6,Neutral
4,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again Bought it last week.",great quality fast shipping definitely buy bought last week,9,Positive
2,Completely useless,"Completely useless, going to return it immediately Just my honest opinion.",completely useless going return immediately honest opinion,7,Positive
5,The best product I have tried so far,"The best product I have tried so far, will reorder soon Overall a solid experience.",best product tried far reorder soon overall solid experience,9,Positive
5,I absolutely love this product,"I absolutely love this product, it works perfectly and exceeded my expectations Overall a solid experience.",absolutely love product works perfectly exceeded expectations overall solid experience,10,Positive
3,The product is acceptable but packaging ,The product is acceptable but packaging could be better Really.,product acceptable packaging could better really,6,Positive
5,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed Overall a solid experience.",perfect gift idea everyone tried impressed overall solid experience,9,Positive
5,I absolutely love this product,"I absolutely love this product, it works perfectly and exceeded my expectations Overall a solid experience.",absolutely love product works perfectly exceeded expectations overall solid experience,10,Positive
4,This is amazing,"This is amazing, best purchase I have made this year Just my honest opinion.",amazing best purchase made year honest opinion,7,Positive
2,Waste of money,"Waste of money, does not work as advertised Really.",waste money work advertised really,5,Negative
5,Super satisfied with the quality and the,Super satisfied with the quality and the price point,super satisfied quality price point,5,Positive
4,Excellent value for money,"Excellent value for money, highly recommend to everyone",excellent value money highly recommend everyone,6,Positive
5,I absolutely love this product,"I absolutely love this product, it works perfectly and exceeded my expectations Overall a solid experience.",absolutely love product works perfectly exceeded expectations overall solid experience,10,Positive
4,My family loves it,"My family loves it, we buy this every single month now Just my honest opinion.",family loves buy every single month honest opinion,8,Positive
5,Works exactly as described,"Works exactly as described, very happy with this purchase",works exactly described happy purchase,5,Positive
5,Works exactly as described,"Works exactly as described, very happy with this purchase Overall a solid experience.",works exactly described happy purchase overall solid experience,8,Positive
5,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Overall a solid experience.",fantastic taste great packaging five stars overall solid experience,9,Positive
5,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Just my honest opinion.",fantastic taste great packaging five stars honest opinion,8,Positive
4,Super satisfied with the quality and the,Super satisfied with the quality and the price point Just my honest opinion.,super satisfied quality price point honest opinion,7,Positive
2,Waste of money,"Waste of money, does not work as advertised Just my honest opinion.",waste money work advertised honest opinion,6,Positive
1,This is the worst product I have ever bo,This is the worst product I have ever bought Bought it last week.,worst product ever bought bought last week,7,Negative
5,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again Just my honest opinion.",great quality fast shipping definitely buy honest opinion,8,Positive
5,The best product I have tried so far,"The best product I have tried so far, will reorder soon Bought it last week.",best product tried far reorder soon bought last week,9,Positive
5,My family loves it,"My family loves it, we buy this every single month now Overall a solid experience.",family loves buy every single month overall solid experience,9,Positive
3,Average product,"Average product, not bad but not great either",average product bad great either,5,Positive
2,Poor customer service and the product ar,Poor customer service and the product arrived late Overall a solid experience.,poor customer service product arrived late overall solid experience,9,Negative
1,Completely useless,"Completely useless, going to return it immediately Really.",completely useless going return immediately really,6,Negative
4,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Just my honest opinion.",fantastic taste great packaging five stars honest opinion,8,Positive
5,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Bought it last week.",fantastic taste great packaging five stars bought last week,9,Positive
4,Works exactly as described,"Works exactly as described, very happy with this purchase",works exactly described happy purchase,5,Positive
4,The best product I have tried so far,"The best product I have tried so far, will reorder soon Overall a solid experience.",best product tried far reorder soon overall solid experience,9,Positive
5,I absolutely love this product,"I absolutely love this product, it works perfectly and exceeded my expectations Really.",absolutely love product works perfectly exceeded expectations really,8,Positive
4,I absolutely love this product,"I absolutely love this product, it works perfectly and exceeded my expectations Really.",absolutely love product works perfectly exceeded expectations really,8,Positive
4,Excellent value for money,"Excellent value for money, highly recommend to everyone Overall a solid experience.",excellent value money highly recommend everyone overall solid experience,9,Positive
5,The best product I have tried so far,"The best product I have tried so far, will reorder soon Bought it last week.",best product tried far reorder soon bought last week,9,Positive
4,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed Really.",perfect gift idea everyone tried impressed really,7,Positive
5,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Overall a solid experience.",fantastic taste great packaging five stars overall solid experience,9,Positive
5,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again Bought it last week.",great quality fast shipping definitely buy bought last week,9,Positive
5,My family loves it,"My family loves it, we buy this every single month now Overall a solid experience.",family loves buy every single month overall solid experience,9,Positive
2,This is the worst product I have ever bo,This is the worst product I have ever bought Overall a solid experience.,worst product ever bought overall solid experience,7,Negative
5,Great quality and fast shipping,"Great quality and fast shipping, will definitely buy again",great quality fast shipping definitely buy,6,Positive
4,Super satisfied with the quality and the,Super satisfied with the quality and the price point Bought it last week.,super satisfied quality price point bought last week,8,Positive
3,Average product,"Average product, not bad but not great either Overall a solid experience.",average product bad great either overall solid experience,8,Positive
4,Super satisfied with the quality and the,Super satisfied with the quality and the price point Really.,super satisfied quality price point really,6,Positive
5,Super satisfied with the quality and the,Super satisfied with the quality and the price point Really.,super satisfied quality price point really,6,Positive
4,This is amazing,"This is amazing, best purchase I have made this year",amazing best purchase made year,5,Positive
4,This is amazing,"This is amazing, best purchase I have made this year Just my honest opinion.",amazing best purchase made year honest opinion,7,Positive
5,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me Overall a solid experience.",fantastic taste great packaging five stars overall solid experience,9,Positive
3,Not sure if I would buy this again,"Not sure if I would buy this again, it is just fine Overall a solid experience.",sure would buy fine overall solid experience,7,Positive
1,Waste of money,"Waste of money, does not work as advertised Overall a solid experience.",waste money work advertised overall solid experience,7,Negative
2,Terrible quality,"Terrible quality, broke after just one use Really.",terrible quality broke one use really,6,Negative
2,The taste was awful and the packaging wa,The taste was awful and the packaging was damaged Just my honest opinion.,taste awful packaging damaged honest opinion,6,Negative
2,This is the worst product I have ever bo,This is the worst product I have ever bought Bought it last week.,worst product ever bought bought last week,7,Negative
2,Not worth the price,"Not worth the price, quality is really bad Bought it last week.",worth price quality really bad bought last week,8,Negative
5,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed",perfect gift idea everyone tried impressed,6,Positive
3,Not sure if I would buy this again,"Not sure if I would buy this again, it is just fine Just my honest opinion.",sure would buy fine honest opinion,6,Positive
4,My family loves it,"My family loves it, we buy this every single month now Just my honest opinion.",family loves buy every single month honest opinion,8,Positive
5,Perfect gift idea,"Perfect gift idea, everyone who tried it was impressed",perfect gift idea everyone tried impressed,6,Positive
4,Fantastic taste and great packaging,"Fantastic taste and great packaging, five stars from me",fantastic taste great packaging five stars,6,Positive
5,Super satisfied with the quality and the,Super satisfied with the quality and the price point Bought it last week.,super satisfied quality price point bought last week,8,Positive
2,Waste of money,"Waste of money, does not work as advertised Bought it last week.",waste money work advertised bought last week,7,Negative
3,Decent quality for the price,"Decent quality for the price, meets basic expectations Just my honest opinion.",decent quality price meets basic expectations honest opinion,8,Positive
1,Terrible quality,"Terrible quality, broke after just one use Bought it last week.",terrible quality broke one use bought last week,8,Negative
